violation_section,violation_section_description
22107,"No person shall turn a vehicle from a direct course or move right or left upon a roadway until such movement can be made with reasonable safety and then only after the giving of an appropriate signal in the manner provided in this chapter in the event any other vehicle may be affected by the movement"
22350,"No person shall drive a vehicle upon a highway at a speed greater than is reasonable or prudent having due regard for weather, visibility, the traffic on, and the surface and width of, the highway, and in no event at a speed which endangers the safety of persons or property"
MISC-HAZ,"MISC-HAZ"
21453A,"A driver facing a steady circular red signal alone shall stop at a marked limit line, but if none, before entering the crosswalk on the near side of the intersection or, if none, then before entering the intersection, and shall remain stopped until an indication to proceed is shown, except as provided in subdivision"
22106,"No person shall start a vehicle stopped, standing, or parked on a highway, nor shall any person back a vehicle on a highway until such movement can be made with reasonable safety"
21703,"The driver of a motor vehicle shall not follow another vehicle more closely than is reasonable and prudent, having due regard for the speed of such vehicle and the traffic upon, and the condition of, the roadway"
20002(A),"The driver of any vehicle involved in an accident resulting only in damage to any property, including vehicles, shall immediately stop the vehicle at the nearest location that will not impede traffic or otherwise jeopardize the safety of other motorists. Moving the vehicle in accordance with this subdivision does not affect the question of fault."
23152A,"It is unlawful for a person who is under the influence of any alcoholic beverage to drive a vehicle."
21801A,"The driver of a vehicle intending to turn to the left or to complete a U-turn upon a highway, or to turn left into public or private property, or an alley, shall yield the right-of-way to all vehicles approaching from the opposite direction which are close enough to constitute a hazard at any time during the turning movement, and shall continue to yield the right-of-way to the approaching vehicles until the left turn or U-turn can be made with reasonable safety."
21804,"The driver of any vehicle about to enter or cross a highway from any public or private property, or from an alley, shall yield the right-of-way to all traffic, as defined in Section 620, approaching on the highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to that traffic until he or she can proceed with reasonable safety."
21802A,"The driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop as required by Section 22450. The driver shall then yield the right-of-way to any vehicles which have approached from another highway, or which are approaching so closely as to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety."
21658A,"A vehicle shall be driven as nearly as practical entirely within a single lane and shall not be moved from the lane until such movement can be made with reasonable safety"
22450(A),"The driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop at a limit line, if marked, otherwise before entering the crosswalk on the near side of the intersection. If there is no limit line or crosswalk, the driver shall stop at the entrance to the intersecting roadway"
38314,"No person shall turn an off-highway motor vehicle from a direct course or move right or left until such movement can be made with reasonable safety"
21950A,"The driver of a vehicle shall yield the right-of-way to a pedestrian crossing the roadway within any marked crosswalk or within any unmarked crosswalk at an intersection, except as otherwise provided in this chapter."
21453C,"A driver facing a steady red arrow signal shall not enter the intersection to make the movement indicated by the arrow and, unless entering the intersection to make a movement permitted by another signal, shall stop at a clearly marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or if none, then before entering the intersection, and shall remain stopped until an indication permitting movement is shown"
21800A,"The driver of a vehicle approaching an intersection shall yield the right-of-way to any vehicle which has entered the intersection from a different highway."
20002(B),"Any person who parks a vehicle which, prior to the vehicle again being driven, becomes a runaway vehicle and is involved in an accident resulting in damage to any property, attended or unattended, shall comply with the requirements of this section relating to notification and reporting and shall, upon conviction thereof, be liable to the penalties of this section for failure to comply with the requirements"
12500(A),"A person may not drive a motor vehicle upon a highway, unless the person then holds a valid driver's license issued under this code, except those persons who are expressly exempted under this code."
21954A,"Every pedestrian upon a roadway at any point other than within a marked crosswalk or within an unmarked crosswalk at an intersection shall yield the right-of-way to all vehicles upon the roadway so near as to constitute an immediate hazard"
21750,"The driver of a vehicle overtaking another vehicle proceeding in the same direction shall pass to the left at a safe distance without interfering with the safe operation of the overtaken vehicle, subject to the limitations and exceptions set forth in this article."
22100B,"Left Turns. The approach for a left turn shall be made as close as practicable to the left-hand edge of the extreme left-hand lane or portion of the roadway lawfully available to traffic moving in the direction of travel of the vehicle and, when turning at an intersection, the left turn shall not be made before entering the intersection. After entering the intersection, the left turn shall be made so as to leave the intersection in a lane lawfully available to traffic moving in that direction upon the roadway being entered, except that upon a highway having three marked lanes for traffic moving in one direction that terminates at an intersecting highway accommodating traffic in both directions, the driver of a vehicle in the middle lane may turn left into any lane lawfully available to traffic moving in that direction upon the roadway being entered."
21950B,"This section does not relieve a pedestrian from the duty of using due care for their safety. No pedestrian may suddenly leave a curb or other place of safety and walk or run into the path of a vehicle that is so close as to constitute an immediate hazard. No pedestrian may unnecessarily stop or delay traffic while in a marked or unmarked crosswalk."
22100A,"Right Turns. Both the approach for a right-hand turn and a right-hand turn shall be made as close as practicable to the right-hand curb or edge of the roadway"
21802B,"A driver having yielded as prescribed in subdivision (a) may proceed to enter the intersection, and the drivers of all other approaching vehicles shall yield the right-of-way to the vehicle entering or crossing the intersection."
23152B,"It is unlawful for a person who has 0.08 percent or more, by weight, of alcohol in his or her blood to drive a vehicle."
23152(F),"It is unlawful for a person who is under the influence of any drug to drive a vehicle."
