violation_section,violation_section_description
21707,"No motor vehicle, except an authorized emergency vehicle or a vehicle of a duly authorized member of a fire or police department, shall be operated within the block wherein an emergency situation responded to by any fire department vehicle exists, except that in the event the nearest intersection to the emergency is more than 300 feet therefrom, this section shall prohibit operation of vehicles only within 300 feet of the emergency, unless directed to do so by a member of the fire department or police department, sheriff, deputy sheriff, or member of the California Highway Patrol. The emergency shall be deemed to have ceased to exist when the official of the fire department in charge at the scene of the emergency shall so indicate. Officials of the fire department or police department or the Department of the California Highway Patrol who are present shall make every effort to prevent the closing off entirely of congested highway traffic passing the scene of any such emergency."
21367C,"It is unlawful to fail to comply with the directions of warning signs, lights, or other control devices provided for the regulation of traffic pursuant to subdivision (a)."
20002(A)(2),"The driver of any vehicle involved in an accident resulting only in damage to any property, including vehicles, shall immediately stop the vehicle at the nearest location that will not impede traffic or otherwise jeopardize the safety of other motorists."
21209A,"No person shall drive a motor vehicle in a bicycle lane established on a roadway pursuant to Section 21207except as follows:

(1) To park where parking is permitted.

(2) To enter or leave the roadway.

(3) To prepare for a turn within a distance of 200 feet from the intersection."
21800(D)1,"The driver of any vehicle approaching an intersection which has official traffic control signals that are inoperative shall stop at the intersection, and may proceed with caution when it is safe to do so."
26450,"Every motor vehicle shall be equipped with a service brake system and every motor vehicle, other than a motorcycle, shall be equipped with a parking brake system. Both the service brake and parking brake shall be separately applied.

If the two systems are connected in any way, they shall be so constructed that failure of any one part, except failure in the drums, brakeshoes, or other mechanical parts of the wheel brake assemblies, shall not leave the motor vehicle without operative brakes."
21752D,"No vehicle shall be driven to the left side of the roadway when approaching within 100 feet of or when traversing any intersection. This section shall not apply upon a one-way roadway."
MISC,"Miscellaneous Offenses" 
21951,"Whenever any vehicle has stopped at a marked crosswalk or at any unmarked crosswalk at an intersection to permit a pedestrian to cross the roadway the driver of any other vehicle approaching from the rear shall not overtake and pass the stopped vehicle."
10851,"This law prohibits someone from driving or taking a vehicle without consent. If convicted, you could face up to 3 years in prison on a felony offense" 
14607,"No person shall cause or knowingly permit his child, ward, or employee under the age of 18 years to drive a motor vehicle upon the highways unless such child, ward, or employee is then licensed under this code."
2800.4,"makes it a crime to evade, dodge or avoid, a police officer by driving in the opposite direction of traffic. is punishable by up to 3 years in jail or prison" 
23136,"(a) Notwithstanding Sections 23152 and 23153, it is unlawful for a person under the age of 21 years who has a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test, to drive a vehicle. However, this section shall not be a bar to prosecution under Section 23152 or 23153 or any other provision of law.

(b) A person shall be found to be in violation of subdivision (a) if the person was, at the time of driving, under the age of 21 years, and the trier of fact finds that the person had consumed an alcoholic beverage and was driving a vehicle with a blood-alcohol concentration of 0.01 percent or greater, as measured by a preliminary alcohol screening test or other chemical test.

(c)(1) Any person under the age of 21 years who drives a motor vehicle is deemed to have given his or her consent to a preliminary alcohol screening test or other chemical test for the purpose of determining the presence of alcohol in the person, if lawfully detained for an alleged violation of subdivision (a).

(2) The testing shall be incidental to a lawful detention and administered at the direction of a peace officer having reasonable cause to believe the person was driving a motor vehicle in violation of subdivision (a).

(3) The person shall be told that his or her failure to submit to, or the failure to complete, a preliminary alcohol screening test or other chemical test as requested will result in the suspension or revocation of the person's privilege to operate a motor vehicle for a period of one year to three years, as provided in Section 13353.1."
16025A,"a) Every driver involved in the accident shall, unless rendered incapable, exchange with any other driver or property owner involved in the accident and present at the scene, all of the following information:

     (1) Driver’s name and current residence address, driver’s license number, vehicle identification number, and current residence address of registered owner.

     (2) Evidence of financial responsibility, as specified in Section 16020. If the financial responsibility of a person is a form of insurance, then that person shall supply the name and address of the insurance company and the number of the insurance policy."
21203,"No person riding upon any motorcycle, motorized bicycle, bicycle, coaster, roller skates, sled, or toy vehicle shall attach the same or himself to any streetcar or vehicle on the roadway" 
21957,"No person shall stand in a roadway for the purpose of soliciting a ride from the driver of any vehicle" 
26451B,"(b) The parking brake shall be applied either by the driver's muscular efforts, by spring action, or by other energy which is isolated and used exclusively for the operation of the parking brake or the combination parking brake and emergency stopping system." 
GANGS,"Participating in a gang is its own separate charge, while committing a crime for a gang's benefit increases your penalty for the underlying offense"
21760(C),"(c) A driver of a motor vehicle shall not overtake or pass a bicycle proceeding in the same direction on a highway at a distance of less than three feet between any part of the motor vehicle and any part of the bicycle or its operator."
22655.5,"A peace officer, as defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2 of the Penal Code, may remove a motor vehicle from the highway or from public or private property within the territorial limits in which the officer may act under the following circumstances:

(a) When any vehicle is found upon a highway or public or private property and a peace officer has probable cause to believe that the vehicle was used as the means of committing a public offense.

(b) When any vehicle is found upon a highway or public or private property and a peace officer has probable cause to believe that the vehicle is itself evidence which tends to show that a crime has been committed or that the vehicle contains evidence, which cannot readily be removed, which tends to show that a crime has been committed.

(c) Notwithstanding Section 3068 of the Civil Code or Section 22851 of this code, no lien shall attach to a vehicle removed under this section unless the vehicle was used by the alleged perpetrator of the crime with the express or implied permission of the owner of the vehicle.

(d) In any prosecution of the crime for which a vehicle was impounded pursuant to this section, the prosecutor may request, and the court may order, the perpetrator of the crime, if convicted, to pay the costs of towing and storage of the vehicle, and any administrative charges imposed pursuant to Section 22850.5.

(e) This section shall become operative on January 1, 1993."
22655.5(B),"(b) When any vehicle is found upon a highway or public or private property and a peace officer has probable cause to believe that the vehicle is itself evidence which tends to show that a crime has been committed or that the vehicle contains evidence, which cannot readily be removed, which tends to show that a crime has been committed."
21712B,"California Vehicle Code 21712 VC is the statute that makes it a crime for a driver to let someone ride in part of a vehicle not intended for passengers, ride in the trunk of a car, or ride in a vehicle that the driver is towing" 
22651B,"(b) If a vehicle is parked or left standing upon a highway in a position so as to obstruct the normal movement of traffic or in a condition so as to create a hazard to other traffic upon the highway." 
22349(A),"a) Except as provided in Section 22356, no person may drive a vehicle upon a highway at a speed greater than 65 miles per hour." 
981154,"Unknown"
84.09A,"No person shall operate or drive a commercial vehicle in, on or across any private driveway approach or sidewalk area or the driveway itself without the consent of the owner or occupant of the property, if a sign or markings are in place indicating that the use of such driveway is prohibited." 
22356,"No person shall drive a vehicle upon that highway at a speed greater than 70 miles per hour, as posted" 
21367(A),"(a) As provided in Section 125 of the Streets and Highways Code and in Section 21100 of this code, respectively, the duly authorized representative of the Department of Transportation or local authorities, with respect to highways under their respective jurisdictions, including, but not limited to, persons contracting to perform construction, maintenance, or repair of a highway, may, with the approval of the department or local authority, as the case may be, and while engaged in the performance of that work, restrict the use of, and regulate the movement of traffic through or around, the affected area whenever the traffic would endanger the safety of workers or the work would interfere with or endanger the movement of traffic through the area. Traffic may be regulated by warning signs, lights, appropriate control devices, or by a person or persons controlling and directing the flow of traffic."
84.05,"Unknown" 
21960A,"A prohibition or restriction pertaining to bicycles, motor-driven cycles, or motorized scooters shall be deemed to include motorized bicycles; and no person may operate a motorized bicycle wherever that prohibition or restriction is in force."
21456(A),"(a) If a pedestrian control signal showing the words “WALK” or “WAIT” or “DON'T WALK” or other approved symbol is in place, the signal shall indicate as follows:

(1) A “WALK” or approved “Walking Person” symbol means a pedestrian facing the signal may proceed across the roadway in the direction of the signal, but shall yield the right-of-way to vehicles lawfully within the intersection at the time that signal is first shown.

(2) A flashing “DON'T WALK” or “WAIT” or approved “Upraised Hand” symbol with a “countdown” signal indicating the time remaining for a pedestrian to cross the roadway means a pedestrian facing the signal may start to cross the roadway in the direction of the signal, but must complete the crossing prior to the display of the steady “DON'T WALK” or “WAIT” or approved “Upraised Hand” symbol when the “countdown” ends.

(3) A steady “DON'T WALK” or “WAIT” or approved “Upraised Hand” symbol or a flashing “DON'T WALK” or “WAIT” or approved “Upraised Hand” without a “countdown” signal indicating the time remaining for a pedestrian to cross the roadway means a pedestrian facing the signal shall not start to cross the roadway in the direction of the signal, but any pedestrian who started the crossing during the display of the “WALK” or approved “Walking Person” symbol and who has partially completed crossing shall proceed to a sidewalk or safety zone or otherwise leave the roadway while the steady “WAIT” or “DON'T WALK” or approved “Upraised Hand” symbol is showing."
82.22,"Unknown"
21235(A),"(a) Operate a motorized scooter unless it is equipped with a brake that will enable the operator to make a braked wheel skid on dry, level, clean pavement."
84.12,"Unknown"
21964,"No person, other than those totally or partially blind, shall carry or use on any highway or in any public building, public facility, or other public place, a predominantly white cane (with or without a red tip)."
22453,"
Failure of the driver of a motor vehicle carrying any passenger for hire to stop as required in Section 22452 shall not be imputed to any bona fide passenger for hire in such vehicle."
23152(E),"DUI penalties for Uber/Lyft/ride-sharing drivers under Vehicle Code 23152(e) are the same as for “regular” DUI. A first DUI offense is a California misdemeanor that can be punished by: Up to 6 months in county jail, and/or. A fine of $390-$1000."
21211,"Prohibits impeding or obstruction of bicyclists on bike paths. Section 21400 — Adopt rules and regulations for signs, markings, and traffic control devices for roadways user."
35250,"No vehicle or load shall exceed a height of 14 feet measured from the surface upon which the vehicle stands, except that a double-deck bus may not exceed a height of 14 feet, 3 inches."
23152C,"It is unlawful for a person who is addicted to the use of any drug to drive a vehicle."
21652,"When any service road has been constructed on or along any public highway and the main thoroughfare of the highway has been separated from the service road, it is unlawful for any person to drive any vehicle into the main thoroughfare from the service road or from the main thoroughfare into the service road except through an opening in the dividing curb, section, separation, or line."
23115,"(a) No vehicle transporting garbage, swill, used cans or bottles, wastepapers, waste cardboard, ashes, refuse, trash, or rubbish, or any noisome, nauseous, or offensive matter, or anything being transported for disposal or recycling shall be driven or moved upon any highway unless the load is totally covered in a manner that will prevent the load or any part of the load from spilling or falling from the vehicle.

(b) Subdivision (a) does not prohibit a rubbish vehicle from being without cover while in the process of acquiring its load if no law, administrative regulation, or local ordinance requires that it be covered in those circumstances.

(c) Vehicles transporting wastepaper, waste cardboard, or used cans or bottles, are in compliance with subdivision (a) if appropriate binders including, but not limited to, bands, wires, straps, or netting are used to prevent the load, or any part of the load, from spilling or falling from the vehicle.

(d) This section does not apply to any vehicle engaged in transporting wet waste fruit or vegetable matter, or waste products to or from a food processing establishment."
21235(C),"prohibits the operation of an E-scooter without wearing a properly fitted and fastened helmet. Recent California legislation only requires those under 18 to comply with this subsection of the vehicle code."
26454A,"(a) The service brakes of every motor vehicle or combination of vehicles shall be adequate to control the movement of and to stop and hold the vehicle or combination of vehicles under all conditions of loading."
21460B,"(b) If double parallel solid white lines are in place, a person driving a vehicle shall not cross any part of those double solid white lines, except as permitted in this section or Section 21655.8." 
21200B,"(b) applies to police officers operating a bicycle during their normal course of business. The section exempts these officers from following general vehicle laws if the officer is:

Responding to an emergency call
Engaged in rescue operations
Pursuing an actual or suspected violator of the law2" 
11350(A),"California Health and Safety Code § 11350(a) HS makes it a misdemeanor offense to be in the unlawful possession of a controlled substance, which includes both (a) street narcotics and (b) legal prescription drugs without a valid prescription."
MISC-NONHAZ,"Miscellaneous non-hazards"
22650,"It is unlawful for any peace officer or any unauthorized person to remove any unattended vehicle from a highway to a garage or to any other place, except as provided in this code."
21100.3,"It is unlawful for any person to disobey the traffic directions of a person appointed or authorized by a local authority to regulate traffic pursuant to subdivision (e) of Section 21100 when such appointee is wearing an official insignia issued by the local authority and is acting in the course of his appointed duties."
21235(E),"Specifically written for E-scooters, the California Vehicle Code 21235 states that an e-scooter with an electric motor, a floorboard, and handlebars requires its riders under 18 years of age to use a bicycle helmet while driving the e-scooter."
26453,"All brakes and component parts thereof shall be maintained in good condition and in good working order. The brakes shall be so adjusted as to operate as equally as practicable with respect to the wheels on opposite sides of the vehicle."
21809(A)," Failure to Slow When Approaching or Passing Stationary Emergency Vehicle."
21204B,"(b) An operator shall not allow a person riding as a passenger, and a person shall not ride as a passenger, on a bicycle upon a highway other than upon or astride a separate seat attached thereto."
21201A,"(a) No person shall operate a bicycle on a roadway unless it is equipped with a brake that will enable the operator to make one braked wheel skid on dry, level, clean pavement."
21458(A)(1),"denotes that a red curb means no stopping, standing, or parking."
22500H,"A person shall not stop, park, or leave standing any vehicle whether attended or unattended, except when necessary to avoid conflict with other traffic or in compliance with the directions of a peace officer or official traffic control device, on the roadway side of a vehicle stopped, parked, or standing at the curb or edge of a highway, except for a schoolbus when stopped to load or unload pupils in a business or residence district where the speed limit is 25 miles per hour or less"
